bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Celer,419,HUNGARIAN_1TO1,0.44010353072853076,0.4503968253968254,0.433110119047619,0.0,0.0,0.0,289,12.041666666666666
Celer,419,THRESHOLD_MM,0.07142857142857142,0.041666666666666664,0.25,0.0,0.0,0.0,504,21.0
Celer,419,DUAL_SOFTMAX,0.25838085525585525,1.0,0.14888392857142854,0.0,0.0,0.0,48,2.0
Celer,420,UOT_KR,0.4344099372205022,0.38888888888888884,0.5065250721500721,0.0,0.0,0.0,432,18.0
Celer,420,RAW_UOT_PLAN,0.11504140764492932,0.10416666666666667,0.13238335738335738,0.0,0.0,0.0,405,16.875
Celer,420,CONDITIONAL_UOT,0.40399151985355547,0.361111111111111,0.47192685786435784,0.0,0.0,0.0,432,18.0
Celer,420,SUPPORT_PLUS_K,0.4232988261093911,0.3796296296296296,0.4926361832611832,0.0,0.0,0.0,423,17.625
Celer,420,HUNGARIAN_1TO1,0.40885996492614135,0.42509920634920634,0.39887641293891285,0.0,0.0,0.0,289,12.041666666666666
Celer,420,THRESHOLD_MM,0.06537176274018379,0.03812358276643991,0.22916666666666666,0.0,0.0,0.0,439,18.291666666666668
Celer,420,DUAL_SOFTMAX,0.24590120527620526,1.0,0.14106391293891293,0.0,0.0,0.0,48,2.0
Multi,411,UOT_KR,0.4075630252100841,0.34953703703703703,0.49553571428571425,0.0,0.0,0.0,378,15.75
Multi,411,RAW_UOT_PLAN,0.10115437734923029,0.09143518518518519,0.11855158730158731,0.0,0.0,0.0,351,14.625
Multi,411,CONDITIONAL_UOT,0.4217412659508247,0.3634259259259259,0.5100859788359787,0.0,0.0,0.0,417,17.375
Multi,411,SUPPORT_PLUS_K,0.3992296918767508,0.34259259259259256,0.4851190476190476,0.0,0.0,0.0,378,15.75
Multi,411,HUNGARIAN_1TO1,0.486523199023199,0.4945436507936507,0.4811921296296296,0.0,0.0,0.0,289,12.041666666666666
Multi,411,THRESHOLD_MM,0.021329365079365076,0.013888888888888888,0.06597222222222222,0.0,0.0,0.0,114,4.75
Multi,411,DUAL_SOFTMAX,0.24893416768416768,0.9375,0.14401455026455026,0.0,0.0,0.0,48,2.0
Multi,412,UOT_KR,0.34156953351516045,0.3009259259259259,0.4015625,0.0,0.0,0.0,369,15.375
Multi,412,RAW_UOT_PLAN,0.10529169635690533,0.09375,0.12228009259259258,0.0,0.0,0.0,363,15.125
Multi,412,CONDITIONAL_UOT,0.3348565705521975,0.29461279461279455,0.39461805555555557,0.0,0.0,0.0,413,17.208333333333332
Multi,412,SUPPORT_PLUS_K,0.34156953351516045,0.3009259259259259,0.4015625,0.0,0.0,0.0,369,15.375
Multi,412,HUNGARIAN_1TO1,0.3114271723646724,0.3229166666666667,0.30357969576719573,0.0,0.0,0.0,288,12.0
Multi,412,THRESHOLD_MM,0.016534391534391533,0.010416666666666666,0.048611111111111105,0.0,0.0,0.0,96,4.0
Multi,412,DUAL_SOFTMAX,0.22027058589558587,0.875,0.12649636243386242,0.0,0.0,0.0,47,1.9583333333333333
Multi,413,UOT_KR,0.37588702147525677,0.32638888888888884,0.4481646825396825,0.0,0.0,0.0,402,16.75
Multi,413,RAW_UOT_PLAN,0.10176469091910267,0.09027777777777778,0.11863425925925926,0.0,0.0,0.0,357,14.875
Multi,413,CONDITIONAL_UOT,0.36755368814192346,0.3194444444444444,0.4377480158730158,0.0,0.0,0.0,402,16.75
Multi,413,SUPPORT_PLUS_K,0.37588702147525677,0.32638888888888884,0.4481646825396825,0.0,0.0,0.0,402,16.75
Multi,413,HUNGARIAN_1TO1,0.3387311762311762,0.34722222222222215,0.3324239417989418,0.0,0.0,0.0,288,12.0
Multi,413,THRESHOLD_MM,0.005952380952380952,0.003472222222222222,0.020833333333333332,0.0,0.0,0.0,54,2.25
Multi,413,DUAL_SOFTMAX,0.21107549857549857,0.8125,0.12161044973544972,0.0,0.0,0.0,45,1.875
Multi,414,UOT_KR,0.4395687441643324,0.3819444444444444,0.5268871753246752,0.0,0.0,0.0,414,17.25
Multi,414,RAW_UOT_PLAN,0.10935678224281165,0.09722222222222222,0.12834069865319866,0.0,0.0,0.0,360,15.0
Multi,414,CONDITIONAL_UOT,0.3970918923124806,0.3449074074074074,0.47662262506012504,0.0,0.0,0.0,417,17.375
Multi,414,SUPPORT_PLUS_K,0.4395687441643324,0.3819444444444444,0.5268871753246752,0.0,0.0,0.0,414,17.25
Multi,414,HUNGARIAN_1TO1,0.45481667025784667,0.46378968253968256,0.4491078944203944,0.0,0.0,0.0,289,12.041666666666666
Multi,414,THRESHOLD_MM,0.02819548872180451,0.01736111111111111,0.08928571428571429,0.0,0.0,0.0,174,7.25
Multi,414,DUAL_SOFTMAX,0.24438721001221,0.9375,0.14107218013468012,0.0,0.0,0.0,47,1.9583333333333333
Multi,415,UOT_KR,0.38638607855422863,0.3449074074074074,0.4486426767676767,0.0,0.0,0.0,405,16.875
Multi,415,RAW_UOT_PLAN,0.0950569335921503,0.08564814814814814,0.10912848725348724,0.0,0.0,0.0,348,14.5
Multi,415,CONDITIONAL_UOT,0.3789208007764509,0.33796296296296297,0.4407061688311688,0.0,0.0,0.0,411,17.125
Multi,415,SUPPORT_PLUS_K,0.37076107855422863,0.32870370370370366,0.4337015993265993,0.0,0.0,0.0,393,16.375
Multi,415,HUNGARIAN_1TO1,0.34309711598314535,0.3566468253968254,0.3340713684463685,0.0,0.0,0.0,289,12.041666666666666
Multi,415,THRESHOLD_MM,0.017857142857142856,0.010416666666666666,0.0625,0.0,0.0,0.0,126,5.25
Multi,415,DUAL_SOFTMAX,0.22711281773781775,0.9166666666666666,0.13020232082732083,0.0,0.0,0.0,46,1.9166666666666667
Multi,416,UOT_KR,0.3691905929038282,0.32638888888888884,0.43226911976911975,0.0,0.0,0.0,378,15.75
Multi,416,RAW_UOT_PLAN,0.08619232415188298,0.0787037037037037,0.09837211399711399,0.0,0.0,0.0,339,14.125
Multi,416,CONDITIONAL_UOT,0.37994135154061626,0.33564814814814814,0.4447939213564213,0.0,0.0,0.0,420,17.5
Multi,416,SUPPORT_PLUS_K,0.36085725957049486,0.3194444444444444,0.42185245310245306,0.0,0.0,0.0,378,15.75
Multi,416,HUNGARIAN_1TO1,0.36711317005434657,0.37896825396825395,0.35862343674843666,0.0,0.0,0.0,290,12.083333333333334
Multi,416,THRESHOLD_MM,0.023644179894179895,0.013888888888888888,0.07986111111111112,0.0,0.0,0.0,198,8.25
Multi,416,DUAL_SOFTMAX,0.23688568376068372,0.9375,0.1360291907166907,0.0,0.0,0.0,48,2.0
