bridge,seed,k,epsilon,lambda,method,precision,recall,macro_edge_f1,micro_edge_f1,n_pred_edges,n_templates,tp_total,fp_total,fn_total,solver_iterations,solver_converged,solver_final_residual,mass_retained_fraction,cost_matrix_sha256,plan_sha256,solver_run_id,support_violations
Celer,202,10,0.05,0.5,CONDITIONAL_UOT_D4,0.15598290598290596,1.0,0.2692939244663382,0.2647058823529412,1888,48,288,1600,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,10,0.05,0.5,RAW_UOT_PLAN_D4,0.14763621794871792,0.9027777777777777,0.2531721152410807,0.27139874739039666,1628,48,260,1368,28,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,10,0.05,0.5,SUPPORT_PLUS_K_D4,0.137263431013431,0.8819444444444443,0.2369674518792023,0.2560483870967742,1696,48,254,1442,34,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,15,0.05,0.5,AMOUNT_FREE_COST_D4,0.1363425925925926,1.0,0.2376870277288634,0.21621621621621623,2376,48,288,2088,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,15,0.05,0.5,CONDITIONAL_UOT_D4,0.14787808641975306,1.0,0.25592724656175464,0.2379182156133829,2133,48,288,1845,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,15,0.05,0.5,RAW_UOT_PLAN_D4,0.13891750299998382,0.9097222222222222,0.2398689254042994,0.24775413711583924,1827,48,262,1565,26,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,15,0.05,0.5,SUPPORT_PLUS_K_D4,0.1299619135403449,0.8819444444444443,0.22507842114110313,0.232387923147301,1898,48,254,1644,34,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,203,2,0.05,0.5,AMOUNT_FREE_COST_D4,0.5,0.3333333333333333,0.39999999999999997,0.4,192,48,96,96,192,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,2,0.05,0.5,CONDITIONAL_UOT_D4,0.4479166666666667,0.2986111111111111,0.3583333333333334,0.35833333333333334,192,48,86,106,202,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,2,0.05,0.5,RAW_UOT_PLAN_D4,0.0,0.0,0.0,0.0,192,48,0,192,288,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
