bridge,seed,template_id,truth_side,representation_side
Celer,414,eth_flow_e173b4077dff46__r7fam19__inst00,1,1
Celer,414,eth_flow_ea3a0da30d3549__r7fam22__inst01,1,1
Celer,414,eth_flow_eae92061902e4a__r7fam22__inst00,1,1
Celer,414,eth_flow_f1201dbd944840__r7fam01__inst01,1,1
Celer,414,eth_flow_f4d043541f1548__r7fam09__inst01,1,1
Celer,414,eth_flow_f7848a63a23646__r7fam09__inst00,1,1
Celer,414,eth_flow_f9272f26dcd04f__r7fam21__inst00,1,1
Celer,415,eth_flow_01e48705606942__r7fam00__inst00,1,1
Celer,415,eth_flow_04c6e351b2ca47__r7fam12__inst01,1,1
Celer,415,eth_flow_07caa2710bec4a__r7fam06__inst00,1,1
Celer,415,eth_flow_1588148019174f__r7fam23__inst00,1,1
Celer,415,eth_flow_1d0873480aad4a__r7fam05__inst00,1,1
Celer,415,eth_flow_1f9dedfc829d4f__r7fam04__inst01,1,1
Celer,415,eth_flow_28f0b84621ac46__r7fam13__inst00,1,1
Celer,415,eth_flow_2f206355aaea43__r7fam06__inst01,1,1
Celer,415,eth_flow_358d478069d945__r7fam04__inst00,1,1
Celer,415,eth_flow_37d75efd5f9f44__r7fam10__inst01,1,1
Celer,415,eth_flow_4e127cbb55e04c__r7fam09__inst01,1,1
Celer,415,eth_flow_4e50beef0cd749__r7fam21__inst00,1,1
Celer,415,eth_flow_4f475c3f020d4b__r7fam10__inst00,1,1
Celer,415,eth_flow_52b6b2ca133d4f__r7fam09__inst00,1,1
Celer,415,eth_flow_561eb0573d5047__r7fam02__inst00,1,1
Celer,415,eth_flow_58e46d4d94ff4b__r7fam15__inst00,1,1
Celer,415,eth_flow_5db6976e9e5c41__r7fam18__inst01,1,1
Celer,415,eth_flow_5f517c41176241__r7fam08__inst01,1,1
Celer,415,eth_flow_62a740efd18b4e__r7fam17__inst00,1,1
Celer,415,eth_flow_63c2fd6a03ab48__r7fam03__inst01,1,1
Celer,415,eth_flow_6643ff5b4dfa4c__r7fam15__inst01,1,1
Celer,415,eth_flow_66c2efb1ed7841__r7fam14__inst01,1,1
Celer,415,eth_flow_6971b0e2a6fd43__r7fam16__inst00,1,1
Celer,415,eth_flow_6d0a06f9cab04b__r7fam19__inst01,1,1
Celer,415,eth_flow_78e761c6e4ea46__r7fam07__inst01,1,1
Celer,415,eth_flow_79d5606782cc4b__r7fam22__inst01,1,1
Celer,415,eth_flow_7a593f14f3454d__r7fam20__inst00,1,1
Celer,415,eth_flow_84eb4a01f48146__r7fam14__inst00,1,1
Celer,415,eth_flow_8533725a2ff148__r7fam19__inst00,1,1
Celer,415,eth_flow_945d764af1ee46__r7fam02__inst01,1,1
Celer,415,eth_flow_9b7f54e98dae48__r7fam01__inst01,1,1
Celer,415,eth_flow_9d7db6cce43e42__r7fam03__inst00,1,1
Celer,415,eth_flow_9ddc6740afc843__r7fam11__inst01,1,1
Celer,415,eth_flow_a4a80679601147__r7fam21__inst01,1,1
Celer,415,eth_flow_a8215ccddcb644__r7fam20__inst01,1,1
Celer,415,eth_flow_b01abec2dd1b4f__r7fam17__inst01,1,1
Celer,415,eth_flow_b0a4d1a76c1f45__r7fam05__inst01,1,1
