bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Celer,204,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.31769789107861734,0.31769789107861723,0.6353957821572346,0.31769789107861734,0.31769789107861723,0.6823021089213828,0.6823021089213828,0.14979166666666668,0.6215277777777777,0.24136683209263854,131,True,2026-09-17T03:14:38Z__pid29540
Celer,204,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.18271514270490344,0.1801184243729295,0.36283356707783293,0.18271514270490344,0.1801184243729295,0.8198815756270708,0.8198815756270708,0.19833333333333333,0.8263888888888888,0.3198924731182795,249,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.18271514270490344,0.1801184243729295,0.36283356707783293,0.18271514270490344,0.1801184243729295,0.8198815756270708,0.8198815756270708,0.14979166666666668,0.6215277777777777,0.24136683209263854,249,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.09849738710734539,0.09643893241452328,0.19493631952186868,0.09849738710734539,0.09643893241452328,0.9035610675854765,0.9035610675854765,0.19666666666666668,0.8194444444444443,0.31720430107526876,479,True,2026-09-17T03:14:41Z__pid29540
Celer,204,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.09849738710734539,0.09643893241452328,0.19493631952186868,0.09849738710734539,0.09643893241452328,0.9035610675854765,0.9035610675854765,0.14958333333333335,0.6180555555555555,0.24079818031430933,479,True,2026-09-17T03:14:41Z__pid29540
Celer,205,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7792074208906075,0.7792074208906073,1.558414841781215,0.7792074208906075,0.7792074208906073,0.22079257910939254,0.22079257910939254,0.19999999999999998,0.8333333333333334,0.3225806451612903,33,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7792074208906075,0.7792074208906073,1.558414841781215,0.7792074208906075,0.7792074208906073,0.22079257910939254,0.22079257910939254,0.14958333333333335,0.6180555555555555,0.24079818031430936,33,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.49867435278994543,0.4986743527899455,0.9973487055798909,0.49867435278994543,0.4986743527899455,0.5013256472100548,0.5013256472100548,0.19999999999999998,0.8333333333333334,0.3225806451612903,70,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.49867435278994543,0.4986743527899455,0.9973487055798909,0.49867435278994543,0.4986743527899455,0.5013256472100548,0.5013256472100548,0.15291666666666667,0.6319444444444443,0.24617452440033083,70,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.30413012034769676,0.30413012034769643,0.6082602406953932,0.30413012034769676,0.30413012034769643,0.6958698796523035,0.6958698796523035,0.19916666666666663,0.8298611111111112,0.32123655913978494,131,True,2026-09-17T03:14:41Z__pid29540
Celer,205,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.30413012034769676,0.30413012034769643,0.6082602406953932,0.30413012034769676,0.30413012034769643,0.6958698796523035,0.6958698796523035,0.153125,0.6354166666666666,0.24674317617866004,131,True,2026-09-17T03:14:41Z__pid29540
Celer,205,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.1697165786790192,0.16971657867901907,0.33943315735803825,0.1697165786790192,0.16971657867901907,0.8302834213209809,0.8302834213209809,0.1975,0.8229166666666666,0.3185483870967742,249,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.1697165786790192,0.16971657867901907,0.33943315735803825,0.1697165786790192,0.16971657867901907,0.8302834213209809,0.8302834213209809,0.153125,0.6354166666666666,0.24674317617866004,249,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08992104657501032,0.08992104657501016,0.17984209315002048,0.08992104657501032,0.08992104657501016,0.9100789534249899,0.9100789534249899,0.19916666666666663,0.829861111111111,0.32123655913978494,479,True,2026-09-17T03:14:43Z__pid29540
Celer,205,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08992104657501032,0.08992104657501016,0.17984209315002048,0.08992104657501032,0.08992104657501016,0.9100789534249899,0.9100789534249899,0.153125,0.6354166666666666,0.24674317617866004,479,True,2026-09-17T03:14:43Z__pid29540
Multi,201,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.783260770171196,0.783260770171196,1.566521540342392,0.783260770171196,0.783260770171196,0.21673922982880403,0.21673922982880403,0.18499999999999997,0.75,0.29536290322580644,33,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.783260770171196,0.783260770171196,1.566521540342392,0.783260770171196,0.783260770171196,0.21673922982880403,0.21673922982880403,0.13763257575757576,0.4756944444444444,0.20586100727229759,33,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.513434602288501,0.5134346022885015,1.0268692045770025,0.513434602288501,0.5134346022885015,0.4865653977114989,0.4865653977114989,0.18458333333333332,0.7534722222222223,0.2954469086021505,70,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.513434602288501,0.5134346022885015,1.0268692045770025,0.513434602288501,0.5134346022885015,0.4865653977114989,0.4865653977114989,0.13395833333333332,0.4756944444444444,0.2029851868561546,70,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.3195061572587218,0.31950615725872195,0.6390123145174438,0.3195061572587218,0.31950615725872195,0.6804938427412782,0.6804938427412782,0.18791666666666665,0.7673611111111112,0.300823252688172,131,True,2026-09-17T03:14:44Z__pid29540
Multi,201,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.3195061572587218,0.31950615725872195,0.6390123145174438,0.3195061572587218,0.31950615725872195,0.6804938427412782,0.6804938427412782,0.13416666666666666,0.4791666666666667,0.2035538386344838,131,True,2026-09-17T03:14:44Z__pid29540
Multi,201,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.18096761885297774,0.18096761885297746,0.3619352377059552,0.18096761885297774,0.18096761885297746,0.8190323811470223,0.8190323811470223,0.1920833333333333,0.7847222222222223,0.3075436827956989,249,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.18096761885297774,0.18096761885297746,0.3619352377059552,0.18096761885297774,0.18096761885297746,0.8190323811470223,0.8190323811470223,0.134375,0.48263888888888884,0.20412249041281302,249,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.09675076158429388,0.09675076158429413,0.193501523168588,0.09675076158429388,0.09675076158429413,0.903249238415706,0.903249238415706,0.19125,0.78125,0.3061995967741935,478,True,2026-09-17T03:14:46Z__pid29540
Multi,201,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.09675076158429388,0.09675076158429413,0.193501523168588,0.09675076158429388,0.09675076158429413,0.903249238415706,0.903249238415706,0.134375,0.48263888888888884,0.20412249041281302,478,True,2026-09-17T03:14:46Z__pid29540
Multi,202,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.765315682616939,0.765315682616939,1.530631365233878,0.765315682616939,0.765315682616939,0.234684317383061,0.23468431738306103,0.19625,0.8020833333333334,0.31426411290322576,33,True,2026-09-17T03:14:49Z__pid29540
