sweep,parameter,parameter_value,method,k,epsilon,lambda,n_bridges,n_seeds,n_cells,seeds,macro_edge_f1_mean_of_cells,macro_edge_f1_std_of_cells,precision_mean_of_cells,recall_mean_of_cells,micro_edge_f1_mean_of_cells,mean_n_pred_edges,mean_sinkhorn_iterations,max_sinkhorn_final_residual,n_converged_cells,all_converged,mean_delta_s_total,mean_delta_t_total,mean_delta_total,mean_transport_mass_total,mean_mass_retained_fraction,mean_macro_edge_f1_Celer,std_macro_edge_f1_Celer,mean_precision_Celer,std_precision_Celer,mean_recall_Celer,std_recall_Celer,n_seeds_Celer,mean_macro_edge_f1_Multi,std_macro_edge_f1_Multi,mean_precision_Multi,std_precision_Multi,mean_recall_Multi,std_recall_Multi,n_seeds_Multi,mean_macro_edge_f1_Poly,std_macro_edge_f1_Poly,mean_precision_Poly,std_precision_Poly,mean_recall_Poly,std_recall_Poly,n_seeds_Poly,std_over_seeds_macro_edge_f1
k,k,2.0,CONDITIONAL_UOT_D4,2.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.3503835978835979,0.02006428894255002,0.43744212962962964,0.29236111111111107,0.3510354378593609,191.6,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.35916666666666675,0.009947780321927743,0.4489583333333333,0.012434725402409709,0.29930555555555555,0.008289816934939803,5,0.3305952380952381,0.01854145169179055,0.4130208333333334,0.022969871949166606,0.2756944444444444,0.015644278230651117,5,0.36138888888888887,0.015131879111072064,0.45034722222222223,0.01773044643289831,0.3020833333333333,0.013670152559048292,5,0.017173204570970883
k,k,2.0,RAW_UOT_PLAN_D4,2.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.0008333333333333334,0.001725163898355886,0.0010416666666666667,0.0006944444444444444,0.000891770165787633,177.06666666666666,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0025,0.002282177322938192,0.003125,0.00285272165367274,0.0020833333333333333,0.0019018144357818268,5,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0014433756729740645
k,k,3.0,CONDITIONAL_UOT_D4,3.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.47971768336964415,0.026441547496897918,0.3996366442199776,0.5999999999999999,0.4826419438339189,427.73333333333335,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.4955555555555556,0.02102687874197284,0.412962962962963,0.017522398951644036,0.6194444444444444,0.026283598427466057,5,0.4548148148148147,0.02688695024130594,0.3789351851851852,0.022317263965797123,0.56875,0.033878641437917974,5,0.4887826797385621,0.009515764561678814,0.40701178451178455,0.008079470813873021,0.6118055555555555,0.011620278146306564,5,0.02183077205236767
k,k,3.0,RAW_UOT_PLAN_D4,3.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.1236111111111111,0.010825317547305487,0.1035493827160494,0.1537037037037037,0.1292492162683842,395.6,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.12611111111111112,0.005046083923495826,0.1050925925925926,0.004205069936246515,0.15763888888888888,0.006307604904369774,5,0.1113888888888889,0.008485304107836628,0.09444444444444443,0.0071628465031323175,0.13680555555555554,0.010588854640261734,5,0.13333333333333333,0.0,0.11111111111111112,0.0,0.16666666666666666,0.0,5,0.011183790077331881
k,k,5.0,CONDITIONAL_UOT_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.3129093352883675,0.010687014858812245,0.19450000000000003,0.8053240740740738,0.3155896555077505,1181.3333333333333,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.31908602150537635,0.002787156095877398,0.1978333333333333,0.0017280367794439485,0.8243055555555555,0.007200153247683254,5,0.3029753176930596,0.014206948601556742,0.1893333333333333,0.008114844080106808,0.7736111111111111,0.03892917060603876,5,0.31666666666666665,0.0012021870846773176,0.1963333333333333,0.0007453559924999425,0.8180555555555555,0.003105649968749647,5,0.008687741285674453
k,k,5.0,RAW_UOT_PLAN_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.23742822838252942,0.022851113025261306,0.1485115740740741,0.6050925925925925,0.25226057435490484,1090.4666666666667,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.243631100082713,0.009971252218018438,0.15116666666666667,0.006130099917619604,0.6277777777777777,0.02648920989272312,5,0.21058906893584312,0.015727057117227394,0.1343680555555556,0.010008026292820073,0.5208333333333333,0.044398305043556956,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.024337958717711432
k,k,7.0,CONDITIONAL_UOT_D4,7.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.28199198061679315,0.006450816034387662,0.16517768165528418,0.9824074074074074,0.283177894070243,1709.8,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.2844471279944045,0.0008199103770353617,0.16582961309523808,0.0005116361773812743,0.9993055555555556,0.0015528249843748982,5,0.2764236089833284,0.00930372231455425,0.16344967811686076,0.004813615883298533,0.9479166666666667,0.03928371006591928,5,0.2851052048726467,7.581984461586954e-05,0.16625375375375376,5.140039015626253e-05,1.0,0.0,5,0.004833563724696399
k,k,7.0,RAW_UOT_PLAN_D4,7.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.2622826775277342,0.024587614529223006,0.15414913190132484,0.9060185185185186,0.27859849236494644,1580.7333333333333,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.2689793281653746,0.01092580963587889,0.15700075075075073,0.006287187364189964,0.9402777777777779,0.040373449593746176,5,0.2325143301099654,0.012938723867711261,0.13902397228055122,0.007140005417076467,0.7777777777777779,0.06108545863110829,5,0.28535437430786265,0.0001238132877906796,0.1664226726726727,8.393648564189297e-05,1.0,0.0,5,0.027049055714218385
k,k,10.0,CONDITIONAL_UOT_D4,10.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.2720039666084634,0.007233681201050996,0.15860909615076277,0.9847222222222222,0.2690824135077617,1820.2666666666667,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.27325472085385877,0.005113478871921134,0.15855444555444553,0.00333447572625415,1.0,0.0,5,0.2644826065803077,0.0058848323561360655,0.15544515669515668,0.003349670877180379,0.9541666666666666,0.026602751818580555,5,0.2782745723912237,0.0007368244758765464,0.1618276862026862,0.0004802420215318886,1.0,0.0,5,0.006980535070404703
k,k,10.0,RAW_UOT_PLAN_D4,10.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.25941497278241404,0.020591262338217238,0.15192272233938897,0.920138888888889,0.26976427253071006,1674.8,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.2597848716334473,0.013267175220506987,0.15091273310023307,0.008122600456659478,0.9458333333333334,0.036217791140014735,5,0.23701505492397548,0.008473885093654885,0.14096654502904502,0.004869822789466354,0.8145833333333334,0.049508093396215466,5,0.2814449917898193,0.0014686817586205497,0.16388888888888886,0.0009555846057691374,1.0,0.0,5,0.022217277991367777
